Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Boston Scientific,BSX,17.546558,12.654458,0.151,0.15338999,0.0,62809608192.0,Healthcare,0.568,50.151
Bristol Myers Squibb,BMY,13.889869,9.605719,1.531,0.46598998,0.5529,128813588480.0,Healthcare,0.227,201.859
Broadcom,AVGO,45.555412,18.448807,2.153,0.44245,0.324,1707097718784.0,Technology,1.457,59.604
Broadridge Financial Solutions,BR,16.992708,14.092307,0.084,0.40916002,0.4063,18600376320.0,Technology,0.91,123.939
Brown & Brown,BRO,20.77316,13.4752,0.071,0.10023,0.2061,21756364800.0,Financial Services,0.582,63.975
Brown–Forman,BF-B,16.735485,15.135513,0.057,0.18122,0.59319997,11902939136.0,Consumer Defensive,0.331,61.502
Bunge Global,BG,24.909483,10.191098,0.33,0.071779996,0.6078,22205128704.0,Consumer Defensive,0.66,97.995
"BXP, Inc.",BXP,33.962364,28.418854,-0.232,0.05308,1.5054,11426026496.0,Real Estate,1.033,211.631
C.H. Robinson,CHRW,29.140953,20.40079,0.238,0.37123,0.479,17877073920.0,Industrials,0.943,121.188
Cadence Design Systems,CDNS,56.242542,29.63725,1.254,0.23229,0.0,77908672512.0,Technology,1.137,38.661
Camden Property Trust,CPT,32.71287,90.935776,-0.757,0.07885,1.3927001,11471413248.0,Real Estate,0.782,125.648
Carnival Corporation,CCL,9.837838,8.386163,-0.065,0.26689,0.1351,29913137152.0,Consumer Cyclical,2.312,201.556
Carrier Global,CARR,38.485714,16.31042,-0.118,0.08966,0.6643,44414636032.0,Industrials,1.298,91.998
Carvana,CVNA,34.449738,28.783245,0.615,0.58773,0.0,72172077056.0,Consumer Cyclical,3.497,110.88
Casey's,CASY,28.752645,25.47145,0.277,0.19983,0.1137,22082961408.0,Consumer Cyclical,0.592,70.547
Caterpillar Inc.,CAT,34.81024,24.986303,0.682,0.56972003,0.2601,371872366592.0,Industrials,1.594,232.783
Cboe Global Markets,CBOE,21.267342,17.924192,0.502,0.26297,0.2245,28495044608.0,Financial Services,0.408,28.09
CBRE Group,CBRE,31.922197,15.337491,-0.042,0.15798001,0.0,40395755520.0,Real Estate,1.188,117.789
CDW Corporation,CDW,17.54982,12.134438,0.049,0.44009998,0.3023,18276296704.0,Technology,0.941,263.278
Cencora,COR,22.940565,15.589689,0.119,0.96871,0.1745,58923614208.0,Healthcare,0.574,446.516
CenterPoint Energy,CNP,22.750002,18.30986,0.233,0.09825,0.5357,25176289280.0,Utilities,0.451,210.256
CF Industries,CF,9.473294,11.949198,0.996,0.29867,0.14840001,19325878272.0,Basic Materials,0.399,40.504
Charles Schwab Corporation,SCHW,19.17122,13.484306,0.426,0.20273,0.2149,182012575744.0,Financial Services,0.753,151.106
Charter Communications,CHTR,3.336023,3.0618727,0.161,0.27201998,0.0,16656665600.0,Communication Services,0.687,441.578
Chevron Corporation,CVX,20.16458,15.447548,3.219,0.12231,0.6718,410975502336.0,Energy,0.491,18.959
Chipotle Mexican Grill,CMG,30.953703,24.398611,-0.013,0.49560001,0.0,42302922752.0,Consumer Cyclical,0.937,246.35
Chubb Limited,CB,12.075151,11.704559,-0.007,0.14822,0.1393,131418873856.0,Financial Services,0.382,30.941
Church & Dwight,CHD,30.368591,23.46848,0.09,0.17041,0.38619998,22475069440.0,Consumer Defensive,0.472,55.851
Ciena,CIEN,77.85714,29.571627,4.229,0.22396,0.0,49462812672.0,Technology,1.309,107.496
Cigna,CI,11.384615,8.229224,0.102,0.16758,0.2539,72740118528.0,Healthcare,0.317,74.29
Cincinnati Financial,CINF,7.9792256,18.712864,0.855,0.21484,0.1709,25937790976.0,Financial Services,0.545,5.255
Cintas,CTAS,40.25255,32.316612,0.156,0.40714002,0.3666,79089516544.0,Industrials,0.913,52.646
Cisco,CSCO,32.885887,19.547468,0.521,0.27319,0.4985,431752708096.0,Technology,0.992,62.017
Clorox,CLX,17.276506,13.273509,-0.501,1.6376,1.0312,10049367040.0,Consumer Defensive,0.544,2221.429
CME Group,CME,23.390678,21.352411,0.025,0.15802,0.95419997,99247472640.0,Financial Services,0.275,14.587
CMS Energy,CMS,19.680721,15.723739,-0.439,0.09158,0.6692,20489129984.0,Utilities,0.331,185.604
