Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Marvell Technology,MRVL,81.14618,36.127113,0.5,0.16523,0.0795,219508604928.0,Technology,2.253,28.525
Mastercard,MA,31.125551,24.54917,0.221,2.41202,0.17930001,495155838976.0,Financial Services,0.735,439.583
McCormick & Company,MKC,8.106489,14.782271,-0.142,0.24728,0.3095,13098447872.0,Consumer Defensive,0.634,65.143
Medtronic,MDT,22.692118,14.381246,0.407,0.106479995,0.70199996,117846974464.0,Healthcare,0.574,55.365
Meta Platforms,META,25.084776,19.043377,-0.134,0.29848,0.0791,1696002211840.0,Communication Services,1.243,42.997
MetLife,MET,18.590038,8.885975,0.058,0.13094,0.4397,61666680832.0,Financial Services,0.759,179.933
MGM Resorts,MGM,22.915154,18.300623,5.194,0.18924999,0.0,9673735168.0,Consumer Cyclical,1.282,893.311
Micron Technology,MU,22.94038,6.489501,13.685,0.66638,0.0112,1147237564416.0,Technology,2.222,6.33
Microsoft,MSFT,27.47802,20.929373,0.317,0.34039003,0.1983,3666585845760.0,Technology,1.108,29.118
Mid-America Apartment Communities,MAA,34.774853,36.2639,0.137,0.0705,1.7807001,14148364288.0,Real Estate,0.715,102.377
Mondelez International,MDLZ,22.289377,18.100153,1.449,0.13340001,0.73260003,77663346688.0,Consumer Defensive,0.402,82.643
Monolithic Power Systems,MPWR,74.39218,34.9233,0.858,0.21979,0.4344,59846348800.0,Technology,1.664,0.486
Monster Beverage,MNST,41.398144,34.15219,0.18,0.25704,0.0,87589199872.0,Consumer Defensive,0.515,0.992
Moody's Corporation,MCO,29.751745,24.76148,0.567,0.76932,0.25,81150877696.0,Financial Services,1.334,240.682
Morgan Stanley,MS,16.376719,14.849326,0.624,0.17969999,0.3231,318165319680.0,Financial Services,1.207,517.282
Motorola Solutions,MSI,36.14421,23.703876,0.095,0.91567004,0.3719,75907039232.0,Technology,0.881,357.85
"Nasdaq, Inc.",NDAQ,27.271137,19.989656,0.141,0.16521999,0.32650003,52286742528.0,Financial Services,0.974,77.687
NetApp,NTAP,27.897036,17.785366,0.635,1.14818,0.2938,38849716224.0,Technology,1.432,169.498
Netflix,NFLX,22.575472,18.78872,0.111,0.49541,0.0,298929225728.0,Communication Services,1.526,55.236
Newmont,NEM,15.542822,12.1026745,0.114,0.25905,0.1286,130036170752.0,Basic Materials,0.543,15.807
News Corp (Class A),NWSA,28.912622,19.699417,-0.749,0.07979,0.1942,15966097408.0,Communication Services,0.923,31.561
News Corp (Class B),NWS,31.728157,21.617762,-0.749,0.07979,0.1942,17520887808.0,Communication Services,0.923,31.561
NextEra Energy,NEE,18.083147,18.30457,0.531,0.11677,0.53470004,167858667520.0,Utilities,0.644,161.676
"Nike, Inc.",NKE,16.909523,15.515018,4.28,0.22138001,0.77620006,52679036928.0,Consumer Cyclical,1.11,74.289
NiSource,NI,21.585108,18.010342,-0.584,0.085489996,0.617,19460548608.0,Utilities,0.54,146.649
Nordson Corporation,NDSN,31.535425,23.998566,0.23,0.17763,0.33200002,17354252288.0,Industrials,0.972,55.619
Norfolk Southern,NSC,26.828352,21.936832,-0.044,0.16985,0.46080002,70562963456.0,Industrials,1.268,105.519
Northrop Grumman,NOC,16.77449,17.319885,-0.058,0.26958,0.2988,74922622976.0,Industrials,-0.11,95.348
Norwegian Cruise Line Holdings,NCLH,8.557576,8.344118,6.163,0.3673,0.0,6483732480.0,Consumer Cyclical,1.881,621.051
Nucor,NUE,19.807018,12.458544,0.938,0.14548999,0.17799999,56351383552.0,Basic Materials,1.881,30.512
Nvidia,NVDA,28.064394,14.173006,1.278,1.17211,0.0354,5367153557504.0,Technology,2.217,16.971
"NVR, Inc.",NVR,15.99519,15.020788,-0.226,0.31544,0.0,16471900160.0,Consumer Cyclical,0.913,32.15
NXP Semiconductors,NXPI,19.453072,12.599537,0.726,0.27921,0.3461,57490911232.0,Technology,1.817,93.325
Occidental Petroleum,OXY,17.356932,14.582404,9.649,0.10629,0.295,58818662400.0,Energy,0.164,34.511
Old Dominion,ODFL,33.269234,26.012691,0.323,0.24818,0.2192,35978514432.0,Industrials,1.165,0.44
Omnicom Group,OMC,206.94594,6.519881,0.588,0.060510002,8.3784,21006669824.0,Communication Services,0.673,107.744
ON Semiconductor,ON,45.738564,15.451195,0.366,0.08312,0.0,27244519424.0,Technology,1.997,65.055
Oneok,OKE,16.141623,15.013461,0.142,0.16277,0.72540003,58918043648.0,Energy,0.719,143.07
Oracle Corporation,ORCL,23.100157,13.42252,0.545,0.41192,0.31350002,446333681664.0,Technology,1.732,251.716
Paccar,PCAR,24.433683,16.064558,0.042,0.12755999,0.2821,61089914880.0,Industrials,0.972,72.91
Packaging Corporation of America,PKG,30.229872,17.741982,-0.195,0.14887,0.6818,20739409920.0,Consumer Cyclical,0.797,94.474
Palantir Technologies,PLTR,153.13794,76.47041,2.154,0.38097,0.0,426879287296.0,Technology,1.621,2.139
Paramount Skydance Corporation,PSKY,340.33334,12.00047,-0.541,-0.00896,6.6667,11455066112.0,Communication Services,1.52,126.479
Parker Hannifin,PH,33.106667,24.094769,0.193,0.25076,0.2598,118930825216.0,Industrials,1.123,56.66
Paychex,PAYX,23.750511,18.163818,0.434,0.44769,0.90589994,41343574016.0,Technology,0.808,123.967
PayPal,PYPL,9.907372,9.059308,-0.031,0.24497,0.0794,44834705408.0,Financial Services,1.286,71.751
Pentair,PNR,14.412371,10.819261,-0.111,0.17126,0.268,8924831744.0,Industrials,1.018,47.067
PepsiCo,PEP,17.005241,14.456196,1.37,0.51508,0.7533,177238507520.0,Consumer Defensive,0.361,238.949
PG&E Corporation,PCG,9.496403,7.3267393,0.398,0.09318,0.1259,29071243264.0,Utilities,0.245,189.45
Phillips 66,PSX,15.589612,11.11434,3.449,0.23452999,0.282,109507379200.0,Energy,0.704,62.884
Pinnacle West Capital,PNW,18.082533,16.92215,-0.095,0.09365,0.6958,11417991168.0,Utilities,0.437,233.288
PPG Industries,PPG,14.995696,12.064909,-0.015,0.19297001,0.4075,23234795520.0,Basic Materials,1.063,86.938
PPL Corporation,PPL,19.72781,15.748479,0.212,0.086330004,0.65980005,25089845248.0,Utilities,0.583,135.434
Principal Financial Group,PFG,16.762108,11.325945,0.028,0.12949,0.45439997,25193693184.0,Financial Services,0.872,35.307
Procter & Gamble,PG,22.113293,19.782967,-0.155,0.30290002,0.6433,340016005120.0,Consumer Defensive,0.377,64.49
Progressive Corporation,PGR,10.716867,13.10989,0.05,0.34943,0.6974,124053233664.0,Financial Services,0.259,24.428
Prologis,PLD,30.031181,39.600586,0.853,0.07749,0.9265,131076800512.0,Real Estate,1.316,63.823
Prudential Financial,PRU,10.734362,7.9688406,0.892,0.12011,0.4986,40847998976.0,Financial Services,0.819,163.891
Public Service Enterprise Group,PEG,17.35572,14.932304,-0.427,0.11835,0.6468,34774765568.0,Utilities,0.519,142.409
PTC Inc.,PTC,13.180407,15.252721,-0.12,0.35053003,0.0,14744915968.0,Technology,1.002,46.335
Public Storage,PSA,28.30086,28.972116,0.451,0.21929,1.145,55366201344.0,Real Estate,0.935,109.632
PulteGroup,PHM,11.977529,10.448327,-0.182,0.14901,0.1021,22336430080.0,Consumer Cyclical,1.201,19.065
Quanta Services,PWR,72.76686,32.295567,0.947,0.15337,0.049200002,95725142016.0,Industrials,1.2,67.78
Qualcomm,QCOM,20.28767,17.416683,-0.23,0.33754003,0.4103,189815717888.0,Technology,1.679,55.21
Quest Diagnostics,DGX,26.134676,20.439205,0.15,0.14602,0.2611,27201513472.0,Healthcare,0.549,81.074
Ralph Lauren Corporation,RL,21.141956,16.022392,0.216,0.37537,0.2355,19966009344.0,Consumer Cyclical,1.353,110.373
Raymond James Financial,RJF,14.376091,11.604327,0.42,0.18416001,0.1848,31648475136.0,Financial Services,0.917,47.594
Reddit,RDDT,35.163174,15.571629,1.778,0.30712,0.0,29023014912.0,Communication Services,2.022,0.635
RTX Corporation,RTX,34.215168,24.709002,0.287,0.12274,0.48770002,261465063424.0,Industrials,0.287,57.02
Realty Income,O,41.357662,36.483753,0.692,0.03225,2.3641999,53612716032.0,Real Estate,0.712,74.722
Regency Centers,REG,24.562288,28.980843,0.089,0.081870005,1.0009999,13638639616.0,Real Estate,0.807,71.972
Regeneron Pharmaceuticals,REGN,19.417368,12.945983,-0.045,0.14043,0.090100005,80804225024.0,Healthcare,0.193,8.535
Republic Services,RSG,30.931915,27.059324,0.051,0.18152,0.3541,66775867392.0,Industrials,0.4,118.798
ResMed|,RMD,21.550768,17.003323,0.024,0.24269,0.2301,32455325696.0,Healthcare,0.766,12.542
Revvity,RVTY,68.96635,24.34401,0.012,0.03211,0.1346,16007068672.0,Healthcare,1.089,46.225
Robinhood Markets,HOOD,53.0177,35.401524,0.476,0.23618999,0.0,107728044032.0,Financial Services,2.34,240.279
Rockwell Automation,ROK,38.988743,27.976122,0.404,0.30629,0.5103,46247677952.0,Industrials,1.515,103.347
"Rollins, Inc.",ROL,29.481817,24.93522,0.031,0.37008998,0.649,15603546112.0,Consumer Cyclical,0.736,78.015
Roper Technologies,ROP,15.543786,15.343887,2.33,0.13066,0.1446,36864311296.0,Technology,0.747,60.531
Ross Stores,ROST,27.434624,25.341156,0.705,0.42628,0.2056,72692203520.0,Consumer Cyclical,0.861,70.281
Royal Caribbean Group,RCL,15.192212,12.113128,-0.046,0.44669998,0.30879998,65742393344.0,Consumer Cyclical,1.75,224.816
S&P Global,SPGI,24.639513,20.046244,0.177,0.14255,0.2349,119488339968.0,Financial Services,1.077,42.98
Salesforce,CRM,21.76761,14.859358,1.189,0.19381,0.1568,195808165888.0,Technology,1.202,110.417
Schlumberger,SLB,24.936584,15.803385,-0.297,0.12909001,0.5659,75869396992.0,Energy,0.774,47.002
Seagate Technology,STX,61.82793,15.509631,1.488,3.7152898,0.21149999,195282829312.0,Technology,2.087,179.88
Sempra,SRE,23.568115,14.672657,0.713,0.06679,0.7551,53168635904.0,Utilities,0.564,84.663
ServiceNow,NOW,84.14286,27.064177,-0.219,0.14244,0.0,140057280512.0,Technology,0.972,67.538
Sherwin-Williams,SHW,29.56037,23.582048,0.143,0.65124,0.2934,77859823616.0,Basic Materials,1.089,389.958
Simon Property Group,SPG,14.489768,30.208912,-0.125,1.20508,0.621,77944299520.0,Real Estate,1.312,503.504
Skyworks Solutions,SWKS,45.98964,17.885607,-0.686,0.05094,1.4714999,13355964416.0,Technology,1.518,11.869
Snap-on,SNA,19.00664,17.441124,0.051,0.17932,0.4827,19250249728.0,Industrials,0.712,21.595
Solventum,SOLV,10.860635,12.287146,0.039,0.33960998,0.0,15122675712.0,Healthcare,0.687,110.313
Southern Company,SO,20.607227,17.367817,0.304,0.114829995,0.71809995,98379038720.0,Utilities,0.316,182.058
Southwest Airlines,LUV,25.6125,8.752838,0.205,0.11099,0.45,20047751168.0,Industrials,1.12,97.275
Stanley Black & Decker,SWK,21.9022,14.041611,2.478,0.06886,0.8117,13528071168.0,Industrials,1.173,58.172
Steel Dynamics,STLD,21.348455,12.0226345,0.836,0.17568001,0.1869,33719367680.0,Basic Materials,1.515,46.924
Steris,STE,25.066013,16.741907,0.14,0.11389,0.3081,19991422976.0,Healthcare,0.914,28.312
Stryker Corporation,SYK,28.539417,16.44075,0.441,0.16508,0.36060002,105528614912.0,Healthcare,0.768,64.391
Supermicro,SMCI,11.990798,7.3395767,4.347,0.21465999,0.0,25680777216.0,Technology,1.996,63.951
Synopsys,SNPS,67.30245,21.965788,0.893,0.03661,0.0,73774358528.0,Technology,1.227,34.804
Sysco,SYY,21.59836,14.716642,0.053,0.77692,0.59290004,37909872640.0,Consumer Defensive,0.627,564.591
T-Mobile US,TMUS,17.61047,11.647991,0.053,0.17994,0.4121,180401897472.0,Communication Services,0.331,214.035
T. Rowe Price,TROW,10.468342,10.091841,0.286,0.19399999,0.5161,22218979328.0,Financial Services,1.48,3.702
Targa Resources,TRGP,27.934034,24.188736,0.233,0.70839995,0.4063,62654603264.0,Energy,0.722,515.794
Target Corporation,TGT,16.40975,16.5683,1.005,0.26408002,0.473,71865204736.0,Consumer Defensive,0.986,107.583
TE Connectivity,TEL,20.11949,15.907826,0.192,0.23290001,0.285,59471802368.0,Technology,1.158,43.441
Teledyne Technologies,TDY,29.223246,22.545069,0.212,0.09154,0.0,27973795840.0,Technology,0.908,18.565
Teradyne,TER,51.096287,31.87908,3.858,0.36465,0.0687,58075897856.0,Technology,1.778,2.883
"Tesla, Inc.",TSLA,343.65094,165.76111,-0.03,0.046669997,0.0,1438701584384.0,Consumer Cyclical,1.845,18.373
Texas Instruments,TXN,40.5228,25.048735,0.518,0.35176,0.85410005,243508379648.0,Technology,1.314,78.036
Texas Pacific Land Corporation,TPL,44.926117,4.8231673,0.327,0.36566,0.2891,24325302272.0,Energy,0.618,1.077
Textron,TXT,15.007534,10.972005,0.052,0.12126,0.0150999995,13705637888.0,Industrials,0.898,52.285
Thermo Fisher Scientific,TMO,35.099678,23.662271,0.094,0.13515,0.09689999,240871882752.0,Healthcare,0.854,80.575
TJX Companies,TJX,23.562962,22.038548,0.236,0.62171,0.325,139960696832.0,Consumer Cyclical,0.593,134.419
TKO Group Holdings,TKO,66.17483,40.429283,0.144,0.07063,1.0912,35821182976.0,Communication Services,0.643,59.216
Trade Desk (The),TTD,16.571428,13.984187,-0.236,0.15441,0.0,6540732416.0,Communication Services,1.005,16.863
Tractor Supply,TSCO,16.776041,15.726386,-0.15,0.39513,0.4896,16782701568.0,Consumer Cyclical,0.469,248.71
Trane Technologies,TT,31.975409,24.482183,0.071,0.36643,0.29659998,94414143488.0,Industrials,1.197,53.404
Travelers Companies (The),TRV,10.062315,12.388936,0.571,0.26511,0.1223,78136377344.0,Financial Services,0.451,27.378
Tyler Technologies,TYL,44.29134,21.98475,0.155,0.09731,0.0,13821391872.0,Technology,0.835,47.906
Tyson Foods,TSN,32.574074,12.783616,2.041,0.03263,1.2530999,18564564992.0,Consumer Defensive,0.371,44.025
Uber,UBER,15.460526,16.00207,0.855,0.3716,0.0,144000483328.0,Technology,1.159,51.872
"UDR, Inc.",UDR,21.455696,60.535717,0.909,0.13739,1.0918,12453647360.0,Real Estate,0.685,156.144
Ulta Beauty,ULTA,19.700655,16.863714,0.133,0.46117002,0.0,23130937344.0,Consumer Cyclical,0.854,95.472
Union Pacific Corporation,UNP,22.639383,19.724142,0.066,0.39696,0.447,165966872576.0,Industrials,0.966,150.772
United Airlines Holdings,UAL,10.178839,7.448584,-0.172,0.23252001,0.0,35283976192.0,Industrials,1.272,201.641
United Parcel Service,UPS,18.412638,12.267644,-0.53,0.29602,1.2193,84278419456.0,Industrials,1.038,189.9
United Rentals,URI,24.372837,17.694668,0.255,0.28895,0.18090001,63108280320.0,Industrials,1.787,166.793
UnitedHealth Group,UNH,24.206808,16.668907,0.615,0.14152999,0.5752,338303483904.0,Healthcare,0.622,69.211
Universal Health Services,UHS,7.2147818,7.3852425,0.101,0.20948,0.0327,10413493248.0,Healthcare,1.061,68.74
Valero Energy,VLO,17.241552,11.07206,4.535,0.27637,0.1943,118994657280.0,Energy,0.568,40.148
Veeva Systems,VEEV,42.72742,25.384756,0.395,0.14425,0.0,42130300928.0,Healthcare,0.974,2.041
Ventas,VTR,157.61818,109.73418,-0.067,0.02012,3.6364002,44467322880.0,Real Estate,0.724,84.928
Veralto,VLTO,23.801006,19.809307,0.101,0.34312,0.1259,23036033024.0,Industrials,0.759,115.978
Verizon,VZ,12.5234375,9.108507,-0.22,0.15842,0.7279,199803142144.0,Communication Services,0.24,184.081
Vertex Pharmaceuticals,VRTX,29.571842,25.249094,0.08,0.23542999,0.0,128844324864.0,Healthcare,0.32,9.767
Vertiv,VRT,56.423077,27.33832,0.53,0.43943,0.0509,96012197888.0,Industrials,2.075,70.166
Vici Properties,VICI,9.193798,7.93311,-0.414,0.09849,0.69769996,26117558272.0,Real Estate,0.682,60.277
Visa Inc.,V,31.317177,24.545631,0.102,0.6119,0.22129999,691411156992.0,Financial Services,0.761,67.821
Vistra Corp.,VST,23.721754,13.570836,-0.062,0.42962003,0.1535,47213801472.0,Utilities,1.414,373.28
Vulcan Materials Company,VMC,28.399765,22.633951,0.027,0.13234,0.2382,31206447104.0,Basic Materials,1.054,58.22
W. R. Berkley Corporation,WRB,14.401234,14.458025,0.15,0.20207001,0.0761,25982214144.0,Financial Services,0.283,31.527
W. W. Grainger,GWW,32.253883,24.814037,0.205,0.46091,0.23629999,59658526720.0,Industrials,1.034,61.977
Wabtec,WAB,37.766846,22.522509,0.189,0.11553001,0.1507,47333888000.0,Industrials,0.921,61.686
Walmart,WMT,38.67029,33.043858,-0.091,0.22313999,0.3496,849365827584.0,Consumer Defensive,0.595,71.653
Walt Disney Company (The),DIS,21.169073,13.729625,-0.483,0.0801,0.3093,177278943232.0,Communication Services,1.409,39.404
Waste Management,WM,29.90085,23.156122,0.083,0.29841,0.5007,84379877376.0,Industrials,0.431,235.301
WEC Energy Group,WEC,20.033009,17.198153,0.197,0.11988,0.71650004,33617879040.0,Utilities,0.457,157.985
Welltower,WELL,102.632286,71.971695,0.356,0.03836,1.3274001,164917313536.0,Real Estate,0.76,41.375
West Pharmaceutical Services,WST,46.390526,36.31598,0.181,0.19087,0.1114,25497841664.0,Healthcare,1.135,10.585
Western Digital,WDC,16.395245,13.901307,9.841,1.30853,0.0186,159128338432.0,Technology,2.182,13.436
Weyerhaeuser,WY,32.151512,31.555779,0.871,0.04974,1.2727,15294017536.0,Real Estate,0.89,57.625
"Williams-Sonoma, Inc.",WSM,23.01848,21.323706,0.42,0.54960996,0.2913,26406090752.0,Consumer Cyclical,1.463,71.369
Williams Companies,WMB,28.705181,27.743656,0.512,0.21503,0.8167,88129224704.0,Energy,0.618,200.371
Willis Towers Watson,WTW,19.205702,13.563699,-0.268,0.19761999,0.2328,28788443136.0,Financial Services,0.417,91.39
"Workday, Inc.",WDAY,39.565304,14.663316,2.06,0.16006,0.0,46722670592.0,Technology,1.082,58.39
Xcel Energy,XEL,19.80822,15.923988,0.24,0.0992,0.637,45161062400.0,Utilities,0.399,173.135
Xylem Inc.,XYL,25.609524,17.221972,0.195,0.09182999,0.3952,25113841664.0,Industrials,1.0,28.642
Zebra Technologies,ZBRA,31.830118,15.614203,1.215,0.15286,0.0,16399294464.0,Technology,1.607,86.23
Zimmer Biomet,ZBH,23.145632,10.516959,0.338,0.06413,0.233,18188746752.0,Healthcare,0.471,60.175
Zoetis,ZTS,11.6476345,10.93174,0.012,0.64911,0.3361,29504165888.0,Healthcare,0.729,293.996
