"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2026","11,220.60","11,231.50","11,299.77","11,212.54","","-0.16%"
"09/10/2026","11,238.58","11,377.90","11,382.09","11,238.58","","-1.16%"
"09/09/2026","11,370.12","11,398.30","11,460.66","11,302.39","","-0.39%"
"09/08/2026","11,414.32","11,448.28","11,464.98","11,364.58","","-0.33%"
"09/07/2026","11,451.80","11,456.18","11,472.22","11,435.72","","-0.01%"
"09/04/2026","11,452.94","11,424.26","11,470.48","11,391.96","","-0.23%"
"09/03/2026","11,479.48","11,546.83","11,547.72","11,461.83","","-0.66%"
"09/02/2026","11,556.21","11,403.96","11,556.21","11,381.19","","1.49%"
"09/01/2026","11,386.24","11,290.73","11,435.62","11,243.39","","0.63%"
"08/31/2026","11,315.26","11,445.90","11,456.30","11,301.01","","-1.14%"
"08/28/2026","11,445.90","11,470.79","11,564.91","11,418.98","","-0.22%"
"08/27/2026","11,470.79","11,369.18","11,470.79","11,369.18","","0.89%"
"08/26/2026","11,369.18","11,450.75","11,467.22","11,328.01","","-0.71%"
"08/25/2026","11,450.75","11,537.98","11,553.71","11,364.35","","-0.76%"
"08/24/2026","11,537.98","11,338.38","11,549.79","11,338.38","","1.76%"
"08/21/2026","11,338.38","11,238.59","11,393.20","11,238.59","","0.89%"
"08/20/2026","11,237.90","11,241.32","11,286.86","11,172.27","","-0.03%"
"08/19/2026","11,241.32","11,186.57","11,296.60","11,186.57","","0.49%"
"08/18/2026","11,186.57","11,147.83","11,199.93","11,101.12","","0.34%"
"08/17/2026","11,148.13","11,040.48","11,148.13","11,035.61","","0.96%"
"08/14/2026","11,042.67","11,000.07","11,089.84","10,998.83","","0.39%"
"08/13/2026","11,000.07","10,982.72","11,023.61","10,916.94","","0.16%"
"08/12/2026","10,982.72","11,128.42","11,236.68","10,958.69","","-1.31%"
"08/11/2026","11,128.56","11,268.81","11,307.85","11,063.95","","-1.25%"
"08/10/2026","11,268.86","11,256.28","11,302.51","11,242.29","","0.11%"
"08/07/2026","11,256.28","11,275.15","11,332.56","11,231.27","","-0.17%"
"08/06/2026","11,275.15","11,157.69","11,342.43","11,149.32","","1.05%"
"08/05/2026","11,157.69","10,996.46","11,178.57","10,996.46","","1.47%"
"08/04/2026","10,996.46","11,049.58","11,097.85","10,995.57","","-0.48%"
"08/03/2026","11,049.58","11,016.85","11,063.24","10,969.79","","0.30%"
"07/31/2026","11,016.85","11,030.67","11,040.49","10,928.20","","-0.13%"
"07/30/2026","11,030.67","10,935.89","11,037.62","10,925.23","","0.87%"
"07/29/2026","10,935.89","10,879.65","10,984.18","10,834.83","","0.52%"
"07/28/2026","10,879.65","10,962.64","10,972.93","10,829.91","","-0.77%"
"07/27/2026","10,964.11","10,950.74","11,061.37","10,950.74","","0.12%"
"07/24/2026","10,950.74","10,913.42","11,023.29","10,912.73","","0.31%"
"07/23/2026","10,916.70","11,009.22","11,040.76","10,914.31","","-0.84%"
"07/22/2026","11,009.22","10,954.04","11,018.58","10,912.93","","0.50%"
"07/21/2026","10,954.04","10,898.36","10,999.53","10,808.06","","0.52%"
"07/20/2026","10,896.87","10,887.72","10,896.87","10,767.24","","0.10%"
"07/17/2026","10,886.14","10,947.38","10,947.38","10,738.11","","-0.56%"
"07/15/2026","10,947.38","11,024.10","11,039.12","10,919.66","","-0.70%"
"07/14/2026","11,024.10","10,927.71","11,025.53","10,927.71","","1.05%"
"07/13/2026","10,909.97","11,056.87","11,056.87","10,909.97","","-0.46%"
"07/10/2026","10,960.89","11,025.29","11,062.78","10,960.89","","0.23%"
"07/09/2026","10,935.43","10,947.02","11,043.25","10,935.43","","-0.81%"
"07/08/2026","11,025.21","10,947.02","11,025.21","10,880.83","","1.34%"
"07/07/2026","10,878.99","11,025.21","11,025.21","10,876.85","","0.53%"
"07/06/2026","10,821.14","10,878.99","10,917.53","10,821.14","","0.25%"
"07/03/2026","10,794.26","10,821.14","10,836.62","10,766.13","","-0.16%"
"07/02/2026","10,811.95","10,794.26","10,910.10","10,723.08","","-0.26%"
"07/01/2026","10,839.80","10,811.95","10,908.44","10,810.17","","0.71%"
"06/30/2026","10,762.98","10,839.80","10,861.78","10,762.98","","0.53%"
"06/26/2026","10,706.25","10,762.98","10,810.23","10,647.52","","0.29%"
"06/25/2026","10,675.08","10,706.25","10,777.62","10,630.26","","-0.88%"
"06/24/2026","10,769.51","10,675.08","10,882.91","10,675.08","","-1.20%"
"06/23/2026","10,900.52","10,769.51","10,908.96","10,769.51","","0.11%"
"06/22/2026","10,888.43","10,900.52","10,966.06","10,840.55","","0.47%"
"06/19/2026","10,836.99","10,888.43","10,909.86","10,836.99","","0.24%"
"06/18/2026","10,811.51","10,836.99","10,892.12","10,805.01","","-0.84%"
"06/17/2026","10,903.59","10,811.51","10,923.79","10,805.80","","0.23%"
"06/16/2026","10,878.98","10,903.59","10,939.44","10,878.98","","-0.40%"
"06/15/2026","10,922.98","10,878.98","11,105.50","10,878.32","","1.70%"
"06/12/2026","10,740.70","10,922.98","10,938.99","10,740.70","","2.75%"
"06/11/2026","10,453.45","10,740.70","10,760.48","10,453.45","","-0.45%"
"06/10/2026","10,501.02","10,453.45","10,520.63","10,445.08","","3.32%"
"06/09/2026","10,163.75","10,501.02","10,503.15","10,163.75","","-1.06%"
"06/08/2026","10,273.09","10,163.75","10,273.09","10,143.41","","-0.30%"
"06/05/2026","10,304.04","10,273.09","10,345.82","10,260.61","","-0.54%"
"06/04/2026","10,359.94","10,304.04","10,507.83","10,293.96","","-1.04%"
"06/03/2026","10,469.18","10,359.94","10,469.18","10,326.80","","-1.48%"
"06/02/2026","10,626.41","10,469.18","10,626.41","10,444.62","","-1.50%"
"06/01/2026","10,788.19","10,626.41","10,788.19","10,599.45","","-1.00%"
"05/29/2026","10,897.17","10,788.19","10,935.48","10,788.19","","0.55%"
"05/28/2026","10,838.04","10,897.17","10,901.14","10,810.39","","0.85%"
"05/27/2026","10,747.02","10,838.04","10,950.74","10,736.22","","-0.73%"
"05/26/2026","10,825.53","10,747.02","10,825.53","10,699.82","","2.48%"
"05/25/2026","10,563.88","10,825.53","10,830.45","10,563.88","","-0.34%"
"05/22/2026","10,599.69","10,563.88","10,633.08","10,531.85","","2.40%"
"05/20/2026","10,350.86","10,599.69","10,621.20","10,350.86","","-1.12%"
"05/19/2026","10,467.78","10,350.86","10,467.78","10,321.48","","0.45%"
"05/18/2026","10,421.35","10,467.78","10,470.30","10,330.00","","-0.58%"
"05/15/2026","10,482.27","10,421.35","10,482.27","10,317.59","","0.82%"
"05/14/2026","10,396.50","10,482.27","10,502.48","10,344.04","","-2.29%"
"05/13/2026","10,640.66","10,396.50","10,640.66","10,392.31","","-0.57%"
"05/12/2026","10,702.13","10,640.66","10,702.13","10,567.90","","-0.53%"
"05/11/2026","10,758.90","10,702.13","10,833.77","10,702.01","","-1.03%"
"05/08/2026","10,871.28","10,758.90","10,873.71","10,758.90","","-0.60%"
"05/07/2026","10,937.19","10,871.28","11,043.08","10,835.71","","2.30%"
"05/06/2026","10,691.27","10,937.19","10,937.19","10,691.27","","-0.24%"
"05/05/2026","10,717.34","10,691.27","10,892.85","10,691.27","","-1.75%"
"05/04/2026","10,908.30","10,717.34","10,918.61","10,683.76","","0.46%"
"04/30/2026","10,857.99","10,908.30","10,966.38","10,834.72","","-0.44%"
"04/29/2026","10,905.45","10,857.99","11,011.93","10,840.97","","-2.02%"
"04/28/2026","11,130.03","10,905.45","11,130.03","10,903.09","","-0.39%"
"04/27/2026","11,173.51","11,130.03","11,192.95","11,012.96","","1.65%"
"04/24/2026","10,992.09","11,173.51","11,193.29","10,992.09","","-0.09%"
"04/23/2026","11,002.13","10,992.09","11,018.44","10,843.70","","-1.14%"
"04/22/2026","11,128.46","11,002.13","11,184.36","10,992.65","","-1.90%"
"04/21/2026","11,343.55","11,128.46","11,366.13","11,128.45","","-0.75%"
"04/20/2026","11,429.19","11,343.55","11,442.68","11,306.15","","-0.42%"
"04/17/2026","11,477.11","11,429.19","11,510.19","11,406.67","","1.44%"
"04/16/2026","11,313.87","11,477.11","11,478.47","11,313.87","","-0.20%"
"04/15/2026","11,336.02","11,313.87","11,358.29","11,284.27","","1.83%"
"04/14/2026","11,132.84","11,336.02","11,350.79","11,132.84","","0.51%"
"04/13/2026","11,076.65","11,132.84","11,213.95","11,025.11","","1.08%"
"04/10/2026","10,958.33","11,076.65","11,125.56","10,958.33","","0.92%"
"04/09/2026","10,858.40","10,958.33","10,958.34","10,770.00","","3.23%"
"04/08/2026","10,518.40","10,858.40","10,923.10","10,518.40","","-1.66%"
"04/07/2026","10,695.56","10,518.40","10,695.56","10,512.36","","-0.41%"
"04/06/2026","10,739.15","10,695.56","10,785.13","10,692.71","","-1.08%"
"04/02/2026","10,856.29","10,739.15","10,856.29","10,586.24","","2.03%"
"04/01/2026","10,640.08","10,856.29","10,856.29","10,640.08","","2.13%"
"03/31/2026","10,418.06","10,640.08","10,640.08","10,382.94","","0.01%"
"03/30/2026","10,417.19","10,418.06","10,559.45","10,387.02","","0.19%"
"03/27/2026","10,397.03","10,417.19","10,500.49","10,379.92","","-0.12%"
"03/26/2026","10,409.95","10,397.03","10,461.85","10,325.15","","2.00%"
"03/25/2026","10,206.16","10,409.95","10,445.32","10,206.16","","-0.21%"
"03/24/2026","10,227.64","10,206.16","10,227.64","10,122.77","","-0.49%"
"03/23/2026","10,277.51","10,227.64","10,421.67","10,227.64","","-1.87%"
"03/20/2026","10,473.45","10,277.51","10,550.07","10,277.05","","-1.38%"
"03/19/2026","10,619.69","10,473.45","10,619.69","10,389.48","","-0.01%"
"03/18/2026","10,620.89","10,619.69","10,660.03","10,541.44","","0.34%"
"03/17/2026","10,584.63","10,620.89","10,660.92","10,553.64","","1.13%"
"03/16/2026","10,466.52","10,584.63","10,584.63","10,466.52","","0.64%"
"03/13/2026","10,399.64","10,466.52","10,469.30","10,308.10","","-1.00%"
"03/12/2026","10,505.21","10,399.64","10,505.21","10,295.98","","-0.94%"
"03/11/2026","10,604.52","10,505.21","10,621.62","10,478.90","","1.69%"
"03/10/2026","10,428.64","10,604.52","10,633.38","10,428.64","","1.11%"
"03/09/2026","10,314.03","10,428.64","10,457.91","10,099.60","","0.16%"
"03/06/2026","10,297.93","10,314.03","10,416.92","10,139.74","","-1.88%"
"03/05/2026","10,494.97","10,297.93","10,588.54","10,224.45","","2.40%"
"03/04/2026","10,248.96","10,494.97","10,499.89","10,248.96","","-2.85%"
"03/03/2026","10,549.28","10,248.96","10,549.28","9,931.28","","-3.02%"
"03/02/2026","10,877.74","10,549.28","10,877.74","10,549.28","","-1.56%"
"02/27/2026","11,049.69","10,877.74","11,068.96","10,877.11","","-0.75%"
"02/26/2026","11,133.28","11,049.69","11,145.17","10,956.79","","1.29%"
"02/25/2026","10,991.76","11,133.28","11,144.37","10,991.76","","0.63%"
"02/24/2026","10,923.25","10,991.76","11,010.60","10,904.09","","0.63%"
"02/23/2026","10,855.08","10,923.25","10,935.57","10,810.98","","0.42%"
"02/20/2026","10,809.15","10,855.08","10,865.69","10,745.67","","-0.51%"
