"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2026","11,343.55","11,343.55","11,442.68","11,306.15","","-0.75%"
"04/17/2026","11,429.19","11,429.19","11,510.19","11,406.67","","-0.42%"
"04/16/2026","11,477.11","11,477.11","11,478.47","11,313.87","","1.44%"
"04/15/2026","11,313.87","11,313.87","11,358.29","11,284.27","","-0.20%"
"04/14/2026","11,336.02","11,336.02","11,350.79","11,132.84","","1.83%"
"04/13/2026","11,132.84","11,132.84","11,213.95","11,025.11","","0.51%"
"04/10/2026","11,076.65","11,076.65","11,125.56","10,958.33","","1.08%"
"04/09/2026","10,958.33","10,958.33","10,958.34","10,770.00","","0.92%"
"04/08/2026","10,858.40","10,858.40","10,923.10","10,518.40","","3.23%"
"04/07/2026","10,518.40","10,518.40","10,695.56","10,512.36","","-1.66%"
"04/06/2026","10,695.56","10,695.56","10,785.13","10,692.71","","-0.41%"
"04/02/2026","10,739.15","10,739.15","10,856.29","10,586.24","","-1.08%"
"04/01/2026","10,856.29","10,856.29","10,856.29","10,640.08","","2.03%"
"03/31/2026","10,640.08","10,640.08","10,640.08","10,382.94","","2.13%"
"03/30/2026","10,418.06","10,418.06","10,559.45","10,387.02","","0.01%"
"03/27/2026","10,417.19","10,417.19","10,500.49","10,379.92","","0.19%"
"03/26/2026","10,397.03","10,397.03","10,461.85","10,325.15","","-0.12%"
"03/25/2026","10,409.95","10,409.95","10,445.32","10,206.16","","2.00%"
"03/24/2026","10,206.16","10,206.16","10,227.64","10,122.77","","-0.21%"
"03/23/2026","10,227.64","10,227.64","10,421.67","10,227.64","","-0.49%"
"03/20/2026","10,277.51","10,277.51","10,550.07","10,277.05","","-1.87%"
"03/19/2026","10,473.45","10,473.45","10,619.69","10,389.48","","-1.38%"
"03/18/2026","10,619.69","10,619.69","10,660.03","10,541.44","","-0.01%"
"03/17/2026","10,620.89","10,620.89","10,660.92","10,553.64","","0.34%"
"03/16/2026","10,584.63","10,584.63","10,584.63","10,466.52","","1.13%"
"03/13/2026","10,466.52","10,466.52","10,469.30","10,308.10","","0.64%"
"03/12/2026","10,399.64","10,399.64","10,505.21","10,295.98","","-1.00%"
"03/11/2026","10,505.21","10,505.21","10,621.62","10,478.90","","-0.94%"
"03/10/2026","10,604.52","10,604.52","10,633.38","10,428.64","","1.69%"
"03/09/2026","10,428.64","10,428.64","10,457.91","10,099.60","","1.11%"
"03/06/2026","10,314.03","10,314.03","10,416.92","10,139.74","","0.16%"
